du-id,measTimeStampRf,nrCellIdentity,RRU.PrbUsedDl,targetTput,DRB.UEThpDl,x,y,RF.serving.RSRP,RF.serving.RSRQ,RF.serving.RSSINR,nbCellIdentity_0,nbCellIdentity_1,nbCellIdentity_2,nbCellIdentity_3,nbCellIdentity_4,rsrp_nb0,rsrq_nb0,rssinr_nb0,rsrp_nb1,rsrq_nb1,rssinr_nb1,rsrp_nb2,rsrq_nb2,rssinr_nb2,rsrp_nb3,rsrq_nb3,rssinr_nb3,rsrp_nb4,rsrq_nb4,rssinr_nb4,Viavi.UE.anomalies,ue-id
1013,2021-06-25T11:42:33.695,c13/N77,77.0,0.3,0.3,2271.0,-1009.0,-89.5107099788,-10.7941344511,32.718077474,c13/B13,c13/B2,c4/N77,c12/N77,c5/N77,-91.5154082166,-10.7954959734,30.7133792362,-97.3899179726,-10.8060418314,24.8388694802,-97.3029990902,-10.8057603306,24.9257883626,-97.7086214993,-10.8071234036,24.5201659535,-100.2779100494,-10.8194382405,21.9508774034,0,Train passenger 2
1002,2021-06-25T11:42:33.695,c2/N77,58.0,0.1,0.1,-1010.0,-1024.0,-117.7378034374,-40.7933563233,14.4909840154,c2/B13,c10/N77,c3/N77,c9/N77,c2/B2,-119.7425016751,-40.7942617113,12.4862857777,-119.9560424328,-40.7943851132,12.27274502,-122.5711586077,-40.7965090929,9.6576288451,-123.1446579317,-40.7971717025,9.0841295211,-125.6170114312,-40.8012777382,6.6117760216,0,Waiting passenger 3
1003,2021-06-25T11:42:33.725,c3/N77,56.0,0.1,0.1,-594.0,-981.0,-117.2209815512,-40.7931831377,15.0078059016,c2/N77,c3/B13,c10/N77,c1/N77,c3/B2,-117.4979036229,-40.7932733685,14.7308838299,-119.2256797889,-40.7939869875,13.0031076639,-122.3730509717,-40.7962997726,9.8557364811,-124.9194795942,-40.7998746009,7.3093078586,-125.1001895449,-40.8002168125,7.1285979079,0,Waiting passenger 9
1003,2021-06-25T11:42:33.735,c3/B13,45.0,0.1,0.0762489171,-512.0,-913.0,-118.2297170673,-40.7935414439,13.9990703855,c3/N77,c2/B13,c3/B2,c10/B13,c1/B13,-116.2250188296,-40.7929022759,16.0037686232,-119.3639853736,-40.7940573339,12.8648020792,-124.1042268234,-40.7984958079,8.1245606294,-125.3744722924,-40.8007641525,6.8543151604,-126.1315516671,-40.8024668337,6.0972357857,0,Waiting passenger 1
1009,2021-06-25T11:42:33.735,c9/N77,59.0,0.1,0.1,-1485.0,-855.0,-118.0823889492,-40.7934837854,14.1463985036,c9/B13,c2/N77,c8/N77,c10/N77,c9/B2,-120.0870871869,-40.7944638999,12.1417002659,-120.8594269719,-40.7949797655,11.3693604809,-122.5551099771,-40.7964917787,9.6736774757,-122.7378393511,-40.7966927486,9.4909481017,-125.961596943,-40.8020584253,6.2671905098,0,Waiting passenger 5
1005,2021-06-25T11:42:33.735,c5/B13,91.0,0.75,0.4144198037,1008.0,359.2,-84.1486353748,-10.7924881315,38.080152078,c5/B2,c5/N77,c4/B13,c1/B13,c6/B13,-90.0231451308,-10.7944251598,32.205642322,-82.143937137,-10.7922383314,40.0848503158,-95.1135647948,-10.8002427107,27.115222658,-96.3229574967,-10.8029462884,25.9058299561,-97.7162589619,-10.8071503055,24.5125284909,0,Car-3
1003,2021-06-25T11:42:33.745,c3/B13,45.0,0.1,0.0813449499,-415.0,-1365.0,-117.2490195466,-40.793192014,14.9797679062,c3/N77,c3/B2,c10/B13,c2/B13,c11/B13,-115.2443213089,-40.7926820098,16.984466144,-123.1235293026,-40.7971457088,9.1052581502,-123.301019804,-40.7973680447,8.9277676488,-124.9250413616,-40.7998849226,7.3037460912,-125.2841624356,-40.8005801135,6.9446250172,0,Waiting passenger 2
1009,2021-06-25T11:42:33.745,c9/N77,52.0,0.1,0.1,-1593.0,-877.0,-116.1587028855,-40.7928857631,16.0700845673,c9/B13,c2/N77,c8/N77,c10/N77,c9/B2,-118.1634011233,-40.7935152483,14.0653863295,-122.0726148813,-40.7959999879,10.1561725715,-122.617992568,-40.7965599873,9.6107948848,-123.0422873929,-40.7970469286,9.1865000599,-124.0379108793,-40.7983946064,8.1908765735,0,Waiting passenger 6
1002,2021-06-25T11:42:33.745,c2/N77,58.0,0.1,0.1,-1010.0,-1024.0,-117.7378034374,-40.7933563233,14.4909840154,c2/B13,c10/N77,c3/N77,c9/N77,c2/B2,-119.7425016751,-40.7942617113,12.4862857777,-119.9560424328,-40.7943851132,12.27274502,-122.5711586077,-40.7965090929,9.6576288451,-123.1446579317,-40.7971717025,9.0841295211,-125.6170114312,-40.8012777382,6.6117760216,0,Waiting passenger 3
1013,2021-06-25T11:42:33.745,c13/B13,45.0,0.3,0.1585922523,2366.5,-1004.0,-92.7639285971,-10.7967221374,29.4648588557,c13/B2,c13/N77,c4/B13,c12/B13,c5/B13,-98.6384383531,-10.8107708367,23.5903490997,-90.7592303593,-10.7949075544,31.4695570935,-99.8104604078,-10.8166272318,22.418327045,-100.1908366417,-10.818891582,22.0379508111,-102.5332527891,-10.8381477648,19.6955346637,0,Train passenger 1
