time,cc,earfcn,pci,rsrp,pl,cfo,pci_neigh,rsrp_neigh,cfo_neigh,dl_mcs,dl_snr,dl_turbo,dl_brate,dl_bler,ul_ta,distance_km,speed_kmph,ul_mcs,ul_buff,ul_brate,ul_bler,rf_o,rf_u,rf_l,is_attached,proc_rmem,proc_rmem_kB,proc_vmem_kB,sys_mem,sys_load,thread_count,cpu_0,cpu_1,cpu_2,cpu_3,service_type
997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,843776,1404020,66,24,17,95,98,96,92,0
1992,0,368500,1,2,0,5.6e-06,0,0,0,22,70,1.3,24739.49609,0,0,0,0,22,0,60689.07422,0,0,0,0,0,11,874644,1677556,66,16,18,95,95,94,89,0
2990,0,368500,1,2.9,0,-3.40E-07,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874644,1677556,66,13,18,100,97,97,97,0
3987,0,368500,1,3.5,0,2.6e-07,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874644,1677556,66,18,18,94,96,95,98,0
4987,0,368500,1,3.3,0,-3.60E-06,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874828,1677556,66,17,18,90,97,91,92,0
5974,0,368500,1,3.2,0,-3.30E-07,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874828,1677556,66,13,18,85,100,92,83,0
6972,0,368500,1,3,0,-2.10E-06,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874828,1677556,66,15,18,84,89,95,93,0
7970,0,368500,1,3.3,0,-2.90E-06,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874828,1677556,66,17,18,85,94,100,100,0
8966,0,368500,1,3.6,0,-1.70E-06,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,18,18,85,96,98,99,0
9964,0,368500,1,3.2,0,-8.90E-07,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,20,18,90,100,96,91,0
10963,0,368500,1,3.2,0,-2.10E-06,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,14,18,86,97,96,89,0
11962,0,368500,1,3.1,0,2.2e-06,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,16,18,86,88,90,100,0
12958,0,368500,1,3.4,0,-3.00E-06,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,17,18,97,87,92,100,0
13957,0,368500,1,3.8,0,-6.90E-07,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,11,18,61,89,91,78,0
14954,0,368500,1,3.2,0,1e-07,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,19,18,94,91,98,100,0
15932,0,368500,1,3.3,0,5.8e-06,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,17,18,86,90,80,93,0
16929,0,368500,1,3.1,0,-2.40E-06,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,18,18,100,93,93,86,0
17925,0,368500,1,3.1,0,9.6e-06,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,12,18,99,85,71,78,0
18922,0,368500,1,3.2,0,5.3e-06,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,17,18,92,84,100,95,0
19913,0,368500,1,3.2,0,-3.00E-07,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,17,18,84,90,100,94,0
20909,0,368500,1,3.2,0,-4.00E-06,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,17,18,87,94,84,84,0
21908,0,368500,1,3.2,0,1.1e-06,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,17,18,92,93,100,88,0
22858,0,368500,1,3.2,0,-2.30E-06,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,17,18,93,97,100,94,0
23854,0,368500,1,3.3,0,-5.30E-07,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,19,18,90,94,98,91,0
24850,0,368500,1,3.2,0,-4.50E-06,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,19,18,93,96,94,100,0
25852,0,368500,1,3.2,0,-1.00E-06,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,17,18,93,92,85,99,0
26846,0,368500,1,3.2,0,-1.90E-06,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,19,18,93,93,92,94,0
27842,0,368500,1,3,0,3.7e-07,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,19,18,93,99,91,93,0
28822,0,368500,1,3.5,0,-1.80E-06,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,19,18,90,89,95,94,0
29819,0,368500,1,3.3,0,-2.00E-06,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,16,18,91,92,100,84,0
30817,0,368500,1,3.1,0,2e-06,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,19,18,94,91,100,93,0
31815,0,368500,1,3.8,0,4.8e-06,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,12,18,52,70,95,94,0
32784,0,368500,1,3.2,0,1.7e-06,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,17,18,86,89,94,95,0
33736,0,368500,1,3.2,0,9.7e-06,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,14,18,71,89,81,98,0
34704,0,368500,1,3.2,0,5.7e-07,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,18,18,94,94,99,91,0
35683,0,368500,1,3.2,0,-2.10E-06,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,19,18,93,91,94,95,0
36673,0,368500,1,3.3,0,1.7e-06,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,16,18,97,92,85,97,0
37672,0,368500,1,3.1,0,-1.70E-06,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,20,18,100,98,93,96,0
38656,0,368500,1,3.3,0,-9.40E-07,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,19,18,92,100,94,97,0
39605,0,368500,1,3.2,0,-5.50E-06,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,14,18,78,84,86,95,0
40594,0,368500,1,3.2,0,2.6e-07,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,19,18,100,95,99,96,0
41590,0,368500,1,3.2,0,-2.30E-06,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,18,18,100,96,93,91,0
42584,0,368500,1,3.2,0,4.7e-07,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,20,18,100,92,94,96,0
43579,0,368500,1,3.5,0,-2.90E-06,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,18,18,96,94,94,95,0
44577,0,368500,1,3,0,-2.30E-06,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,12,18,75,84,81,86,0
45567,0,368500,1,3.7,0,1.1e-06,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,66,16,18,91,93,92,87,0
46538,0,368500,1,3.2,0,4.2e-06,0,0,0,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,874984,1677556,67,16,18,100,89,95,92,0
47487,0,368500,1,2.6,0,-1.70E-06,0,0,0,27,69,1.4,75856.41406,0,0,0,0,26,0,122434.1875,0,0,0,0,0,11,874984,1677556,67,17,18,100,92,84,96,0
48477,0,368500,1,2.3,0,6.9e-06,0,0,0,27,79,1.4,140000,0,0,0,0,26,0,117280.7891,0,0,0,0,0,11,874984,1677556,67,15,18,100,94,82,89,0
49449,0,368500,1,3,0,5.1e-06,0,0,0,27,67,1.7,13731.54395,0,0,0,0,26,0,56805.36719,0,0,0,0,0,11,874984,1677556,67,16,18,100,91,95,92,0
50449,0,368500,1,2.6,0,-3.30E-06,0,0,0,27,69,1.4,107251.3359,0,0,0,0,28,516,221989.3125,0,0,0,0,0,11,874984,1677556,67,14,18,99,98,96,96,0
51371,0,368500,1,1.9,0,-1.70E-06,0,0,0,27,inf,1.4,424153.4688,0,0,0,0,27,0,469199.0313,0,0,0,0,0,11,874984,1677556,66,16,18,100,94,90,96,0
52370,0,368500,1,2.3,0,-2.60E-06,0,0,0,27,82,1.4,752446.5,0,0,0,0,26,0,286976.75,0,0,0,0,0,11,874984,1677556,66,16,18,97,100,83,94,0
53368,0,368500,1,1.9,0,-2.60E-06,0,0,0,27,69,1.4,92627.17969,0,0,0,0,27,0,476487.8125,0,0,0,0,0,11,874984,1677556,67,13,18,93,95,94,98,0
54293,0,368500,1,2.3,0,-5.30E-06,0,0,0,27,70,1.5,188469.9688,0,0,0,0,27,0,223185.375,0,0,0,0,0,11,874984,1677556,67,15,18,96,97,94,100,0
